object_alias
 PNV J18193700-1907400
V1316 CYG COMP2
V1316 CYG COMPANION
V1322 CYG
V1329 CYG
V1330 CYG
V1339   Cyg
V1339  Cyg
V1339 CYG
V1343 AQL
V1351 Cyg
V1363 CYG
v1363cyg
V1370 AQL
V1404 Cyg
V1412 Aql
V1413 AQL
V1419 AQL
V1425 AQL
V1425 Cyg
V1426 CYG
V1432 Aql
V1454 CYG
V1478 CYG
V1493 AQL
V1494 AQL
V1500 CYG
V1504 CYG
V1505 CYG
V1515 CYG
V1548 AQL
V1548 Aql (= Nova Aq
V1624 CYG
V1654 CYG
V1661 CYG
V1663 Aql
V1668 CYG
V1692 Aql
V1711 CYG
V1722 Aql
V1723 AQL
V1730 CYG
V1760 CYG
V1760Cyg
V1776 Cyg
V1783 SGR
V1819 CYG
V1860 SGR
V1910 CYG
V1974 CYG
V1981  Cyg
V1981 Cyg
V1990 CYG
V2015 CYG
V2048 OPH
V2069 Cyg
V2072 CYG
V2085 CYG
V2113 Oph
V2176 CYG
V2176 Cyg (=USNO 142
V2176 Cyg = USNO1425
V2176 Cyg =3D USNO14
V2176 Vyg
V2176Cyg
V2204 OPH
V2274 CYG
V2274 Cyg = Nova Cyg
V2275 CYG
V2275 Cyg (Nova 2001
V2289 Cyg
V2301 OPH
V2303 OPH
V2313 OPH
V2335 OPH
V2362 CYG
V2368 Cyg
V2368 Oph
V2428 Cyg
V2429 CYG
V2466 CYG
V2467 CYG
V2468 Cyg
V2487 OPH
V2491 Cyg
V2492 Cyg
V2492 Cyg (VSX J2051
V2493 Cyg
V2493 Cyg (HBC 722)
V335 VUL
V336 Boo
V336 PER
V337 Cep
V337 CYG
V337 Ori
V339 Del
V342 Cam
V343 SER
V344 LYR
V344 ORI
V346 AQL
V353 GEM
V354 CEP
V355 AND
V355 UMA
V358 Cyg
V358 LYR
V360 GEM
V361 Cep
V362 CEP
V363 Aur
V363 CYG
V364 PEG
V3645 SGR
V366 LAC
V367 CYG
V367Cyg
V368 Aql
V368 PEG
V368 PER
V368 Sct
V369 CYG
V370 And
V370 PEG
V372 ORI
V373 CAS
V373 Cep
V376 VUL
V377
V377 CAS
V377Cas
V378 PEG
V3795 SGR
V380 Oph
V380 SCT
V381 LAC
V382 CYG
V386 CEP
V388 LAC
V389 LAC
V391 CAM
V391 CAS
V391 CYG
V391 LYR
V391Cas
V392 PER
V393 AUR
V393 CAS
V393Cas
V400 PER
V402 AND
V402 And (=Var62 And
V4029 SGR
V404 CYG
V405 AUR
V405 CYG
V405 PEG
V405 VUL
V406 Vir
V406 VUL
V407 CYG
V4077 SGR
V408 Peg
V409 PER
V410 Per
V4135 SGR
V415 LYR
V416 LAC
V4169 SGR
V418 CAS
V418 Gem
V419 LYR
V420 AND
V420 And (TAVJ0218+5
V420 VUL
V422 CEP
V423 Lyr
V426 AND
V426 CEP
V426 OPH
V432 AUR
V433 CAS
V434 GEM
V4361 SGR
V439 Cyg
V443 HER
V443 SCT
V444 Cyg
V444 SCT
V4444 SGR
V448 CYG
V449  Cyg
V449 CYG
V450 AQL
V450 OPH
V450Aql
V451 CAS
V451 CEP
V451 CEP (=TAV 2230
V451 OPH
V452 CAS
V453 CYG
V455 AND
V458 VUL
V459 Vul
V460 And
V460 CYG
V460 VUL
V460Cyg
V4633 SGR
V465   Cas
V465  Cas
V465 CAS
V465 CYG
V465Cas
V466 And
V466 CYG
V471 PER
V471 Tau
V4742 SGR
V4743 Sag
V4743 SGR
V475 SCT
V476 CYG
V477 CYG
V478 HER
V479 CYG
V482 CYG
V482Cyg
V485 Cen 
V485 CYG
V493 AUR
V493 AUR (=TAV J0550
V493 Aur = TAVJ0550+
V493 Aur =3D TAVJ055
V493 LYR
V493 SER
V494 AUR
V494 AUR (=TAV 0556+
V494 Aur = TAV0556+5
V494 Aur =3D TAV0556
V495 HYA
V496 AUR
V496 Sct
V498 HYA
V501 CEP
V503 CYG
V503 Her
V505 MON
V505 PER
V505 Sct
V509 CAS
V5114SA
V513 Cas
V513 Peg
V513 PER
V513 Per (=TAV0329+4
V515 And
V516 CYG
V518 PER
V521 Cyg
V521 PEG
V523 CAS
V523 MON
V529 ORI
V530 ORI
V532 Oph
V533 HER
V542 CYG
V544 HER
V547 And
V550 CYG
V5558 SGR
V558 CYG
V5587 Sgr (N Sgr 201
V5591 Sqr
V5592 Sgr
V5593 Sgr
V562 LYR
V566 CAS
V566 HER
V566 OPH
V566Her
V568 Cyg
V585  Lyr
V585 LYR
V587 LYR
V589 HER
V592 Cas
V592 HER
V593 Her
V593 Lyr
V603 AQL
V607 AUR
V616 MON
V618 SGR
V630 CAS
V630 CYG
V632 CYG
V635 CAS
V640 ORI
V643 ORI
V645 ORI
V647 Aur
V650 ORI
V651 MON
V651 OPH
V654 AUR
V660 HER
V664 CAS
V667 CAS
V673 CYG
V677 ORI
V686 MON
V699 Cyg
V701 TAU
V705 CAS
V707 CAS
V708 CAS
V709 Cas
V713 CEP
V720 CAS
V720 CAS-N
V721 CAS
V722 CAS
V723 CAS
V723Cas
V724 CAS
V725 AQL
V727 CAS
V730 CEP
V730 Cep (= MisV1147 Cep)
V730 Cep(=MisV1147 Cep)
V739 PER
V745 SCO
V750 CYG
V751 CYG
V759 OPH
V764  Cas
V764 CAS
V766 CEN
V770 CAS
V770Cas
V775 CAS
V778 CYG
V781 Tau
V792 CYG
V793 CYG
V795 CYG
V795 Her
V80 Per
V811 CYG
V818 SCO
V822 AQL
V822 CAS
V826 CAS
V826 Cas (=NSV 00203
V826 Cas = NSV00203
V826 Cas =3D NSV0020
V827 HER
V832 CYG
V836 CYG
V838 HER
V838 MON
V841 OPH
V843 Cyg
V844 HER
V849 HER
V849 Oph
V854 CAS
V854 CAS (=TASV J235
V854 Cas = TASV J235
V854 Cas =3D TASV J2
V854 CEN
V868 CYG
V872 PER
V884 HER
V923 AQL
V930 CYG
V939 Her
V973 CYG
V973Cyg
V982 OPH
VAql
Var  Psc
Var  SE
VAR 02 MON
VAR 06 LEO
VAR 73 DRA
VAR 75 CEP
VAR 76 CYG
VAR 79 PEG
VAR 80 PER
VAR 81 PEG
Var Cam 06
VAR CAS 06
Var Dra 08
Var Dra 2008
VAR HER 04
Var Her04
Var Peg 2008
VAR PSC
VAR SE EY
VAR SW EY
VAR TAU
Var Vas 06 =GSC3656 1328 Cas
VAR VUL 05
Var75 CEP
Var76 CYG
VAR79 PEG
Var80 Per
VAR81 PEG
VAri
VCam
VCVn
VCyg
VIL SCO
Vn TUC
VSge
VSX J000921.8+543943
VSX J005518.7+461729
VSX J012059.6+325544
VSX J032912
VSX J032912.2+125017
VSX J053024.8+842243
VSX J063702.2+353219
VSX J074727.6+065050
VSX J183144.5+651130
VSX J192144.2+420441
VSX J192148.9+420946
VSX J201948.3+210751
VSX J202741.9+434455
VSX J202754.5+434040
VSX J205126.1+440523
VSX J212326.6+422115
VSX J213806
VSX J213806.5+261957
VSX J213808.7+261704
VSX J232022.3+444330
VSXJ0120+3255
VSXJ032912
vsxj074728+065050
VSXJ21380
Vul DO
VUMi
VV Cep
VV CET
VV GEM
VV HER
VV Ori
VW   UMa
VW  UMa
VW  UMa   1052+70
VW  Uma  105270
VW  Vul
VW CEP
VW CRB
VW CRV
VW DRA
VW UMA
VW VUL
VWUMa
VX AND
VX AUR
VX CAS
VX CEP
VX GEM
VX LAC
VY  UMa
VY  UMa  103867
VY AND
VY AQR
VY AUR
VY CMA
VY Leo
VY TAU
VY UMA
VYAqr
VYUMa
VZ  Cam
VZ  Cam        0710+
VZ  Cam  071082
VZ AQR
VZ CAM
VZ CAS
VZ Cnc
VZ SEX
VZ SGR
W   Cyg     2132+44
W  And
W  And   0211+43a
W  Boo
W  Boo  143926
W  Cas
W  Cas    004958
W  Cet    2357-15
W  Cyg
W  Cyg  2132+44
W  Ori
W  Ori   0500+01
W  Ori   050001
W  Tri
W AND
W BOO
W CAM
W CAS
W CEP
W CET
W CMA
W CNC
W COM
W CRB
W CYG
W Gem
W HER
W HYA
W LEO
W LMI
W LYN
W LYR
W Lyrae
W ORI
W ORI 050001
W PEG
W PER
W PER 024356A
W SER
W Sge
W TRI
W UMA
W UMI
WAnd
WCep
WCMa
WCrB
WCyg
WOri
WR CVN
WTri
WW AND
WW AUR
WW CET
WW DRA
WW VUL
WX Ari
WX CET
WX CMI
WX CRA
WX CYG
WX DEL
WX LEO
WX LMI
WY CAS
WY CNC
WY GEM
WY Sge
WY TRI
WYGem
WZ   Cas      2356+5
WZ  Cas
WZ  Cas   2356+59
WZ  Cas  235659
WZ CAS
WZ CAS 235659
WZ DEL
WZ Gem
WZ SGE
WZCas
WZSge
X  Cnc
X  Cnc       0849+17
X  Cnc     084917
X  Her
X  Her   1559+47
X  Her  155947
X  Oph
X  Oph   1833+08
X  Per
X AQL
X AUR
X CAM
X CAP
X CAR
X CAS
X CET
X CNC
X COM
X CRB
X CYG
X DEL
X Gem
X HER
X LEO
X Leonis
X LYN
X MON
X OPH
X Oph   183308
X PEG
X PER
X SCO
X SER
X Sge
X TAU
X TRI
X Uma
X-4 CEP
XCnc
XHer
XLeo
XO2b
XOph
XPer
XTE J1118+480
XTEJ1118
XTEJ1118+480
XX  Cam
XX  Cam   0400+53
XX  Cam  040053
XX CAM
XX CAM 040053
XX OPH
XX Per
XX TAU
XXCam
XY Her
XY LYR
XY PER
XY PSC
XYLyr
XZ  Psc 2349-00
XZ CNC
XZ Her
XZ PSC
Y   Lyn  072046
Y  CVn
Y  CVn  124045
Y  Gem   073520
Y  Lyn  0720+46
Y  Per
Y  Per   0320+43
Y  Tau
Y  Tau    0539+20
Y  Tau    053920
Y  Tau   0539+30
Y AND
Y CAP
Y CEN
Y CVN
Y CYG
Y Del
Y Dra
Y GEM
Y HYA
Y LYN
Y LYN 072046
Y MON
Y MUS
Y OPH
Y ORI
Y PEG
Y PER
Y PER 032043
Y PSC
Y TAU
Y UMA
YCVn
YLyn
YTau
YY CMi
YY HER
YZ AND
YZ Boo
YZ CAS
YZ CNC
YZ VUL
Z   Lyr
Z  Cyg
Z  UMA
Z  Uma  1151+58
Z  UMA  115158
Z AND
Z ARI
Z AUR
Z CAM
Z CAP
Z CAS
Z CIR
Z CMA
Z CYG
Z DEL
Z DRA
Z HER
Z PEG
Z PER
Z PSC
Z SCO
Z SER
Z SGR
Z TAU
Z TRI
Z UMA
Z UMI
Z VUL
ZAnd
ZCam
ZET GEM
ZETA AUR
ZETA GEM
ZPsc
ZUMa
ZZ BOO
ZZ CAM
ZZ CEP
ZZ CNC
ZZ GEM
ZZCam
